district,rainfall,humidity,wind_speed,temperature,lightning,risk
Davanagere,317.95,74,14.23,22.87,17,Medium
Hassan,193.83,40,20.96,39.99,23,Medium
Udupi,173.68,93,28.65,36.39,9,Medium
Davanagere,242.08,100,50.66,36.02,3,Medium
Yadgir,80.08,100,56.29,38.79,22,Medium
Vijayanagara,21.5,60,9.33,27.59,10,Low
Ballari,281.43,54,51.08,30.93,4,Medium
Belagavi,135.53,60,11.89,24.51,4,Low
Chamarajanagar,106.41,31,49.63,25.63,15,Medium
Chikkaballapur,261.15,67,9.39,40.33,18,Medium
Udupi,118.64,81,46.65,32.88,22,Medium
Mandya,293.93,95,6.33,38.28,15,Medium
Kodagu,47.67,72,48.63,30.34,25,Medium
Chamarajanagar,256.04,41,53.78,19.9,20,High
Bengaluru Rural,105.98,37,58.96,21.53,8,Medium
Mandya,325.66,92,3.49,27.69,25,Medium
Udupi,36.41,72,35.55,20.76,13,Medium
Kalaburagi,74.38,92,41.24,40.8,7,Medium
Ramanagara,152.06,70,39.53,33.62,21,Medium
Kolar,172.9,67,7.99,22.32,12,Low
Mandya,116.39,31,35.14,28.85,19,Medium
Yadgir,10.38,51,20.41,33.15,17,Medium
Bagalkot,276.04,75,16.39,32.85,2,Low
Kalaburagi,304.71,31,11.89,35.58,4,Low
Vijayapura,176.17,56,46.54,37.04,15,Medium
Hassan,219.84,30,26.19,23.65,7,Medium
Chitradurga,146.37,54,27.19,25.66,15,Medium
Bagalkot,86.26,40,0.55,21.92,5,Low
Chitradurga,141.78,58,44.11,37.37,1,Medium
Davanagere,30.5,93,27.82,31.01,19,Medium
Vijayanagara,66.97,83,12.22,29.46,21,Medium
Bidar,141.79,52,7.83,33.86,14,Medium
Vijayanagara,133.89,70,0.93,35.39,18,Medium
Bengaluru Urban,226.68,68,15.73,39.98,16,Medium
Bengaluru Urban,193.08,95,20.37,41.88,17,Medium
Kalaburagi,171.26,71,20.76,29.6,3,Low
Udupi,344.95,71,45.16,30.43,7,Medium
Ramanagara,212.33,32,23.07,32.13,22,Medium
Koppal,35.99,61,51.39,24.54,5,Low
Udupi,100.72,92,9.2,37.25,9,Low
Bidar,131.77,66,44.41,41.21,23,Medium
Haveri,341.2,74,45.45,37.53,18,High
Mandya,304.18,37,52.55,18.32,25,High
Ballari,339.96,38,1.91,23.67,17,Medium
Bagalkot,196.7,78,47.03,23.42,21,Medium
Bagalkot,337.23,41,8.59,27.58,20,Medium
Bagalkot,96.61,69,33.41,40.84,1,Low
Chamarajanagar,303.57,76,33.22,27.23,24,Medium
Ramanagara,250.36,37,1.44,20.19,10,Medium
Bengaluru Rural,319.27,42,33.82,26.25,25,Medium
Udupi,316.67,72,4.32,23.89,8,Medium
Chitradurga,20.49,54,48.42,32.38,12,Medium
Mysuru,167.94,41,37.42,39.49,17,Medium
Koppal,33.73,70,54.98,41.68,16,Medium
Vijayanagara,279.04,89,30.61,25.46,4,Medium
Haveri,213.06,75,28.46,20.59,2,Low
Haveri,266.65,74,48.92,23.13,13,High
Vijayapura,251.74,67,32.81,25.07,12,Medium
Belagavi,164.23,85,34.24,31.01,16,Medium
Yadgir,186.46,51,32.84,36.65,18,Medium
Chitradurga,185.21,73,46.73,35.01,22,Medium
Yadgir,323.25,37,39.07,23.34,23,High
Hassan,340.11,99,41.0,35.06,7,High
Mangaluru,12.22,81,52.3,28.23,16,Medium
Vijayapura,135.6,54,43.77,38.12,3,Medium
Chitradurga,249.85,85,22.02,26.73,25,High
Mysuru,310.55,43,32.53,26.89,3,Medium
Davanagere,167.15,33,37.42,31.58,6,Medium
Chitradurga,177.32,57,24.1,31.49,5,Low
Mandya,4.07,59,59.63,40.87,4,Low
Kalaburagi,301.2,63,11.56,37.37,11,Medium
Chitradurga,337.12,88,6.9,38.57,15,Medium
Bidar,266.54,49,6.25,36.82,11,Medium
Tumakuru,84.12,49,51.81,36.91,4,Low
Ramanagara,153.52,93,40.83,27.71,10,Medium
Raichur,8.58,43,9.55,35.3,0,Low
Tumakuru,226.93,92,19.72,25.17,0,Medium
Kodagu,184.99,51,52.21,31.86,15,Medium
Raichur,234.5,79,18.56,30.72,9,Medium
Kalaburagi,265.94,91,14.03,40.17,0,Medium
Chamarajanagar,223.73,92,4.86,25.74,20,Medium
Yadgir,227.93,72,43.5,20.05,14,High
Chikkamagaluru,277.9,77,51.12,31.66,20,High
Chikkamagaluru,126.13,83,22.18,19.52,15,Medium
Chikkamagaluru,106.03,81,46.55,26.75,25,Medium
Bagalkot,261.36,60,5.19,21.39,9,Medium
Dharwad,217.44,78,6.2,30.42,13,Medium
Ballari,172.71,69,7.25,19.12,6,Low
Haveri,298.79,36,49.32,23.71,11,Medium
Bidar,193.51,88,44.74,18.42,6,Medium
Raichur,344.95,92,41.76,39.44,6,High
Haveri,28.22,98,14.28,41.91,13,Medium
Ramanagara,290.8,66,5.75,36.07,16,Medium
Tumakuru,263.5,98,11.11,30.87,11,Medium
Kodagu,164.02,66,22.69,29.12,10,Medium
Raichur,56.71,95,3.39,32.1,19,Medium
Vijayanagara,112.99,39,9.27,40.78,9,Low
Kodagu,238.37,63,54.61,32.0,9,Medium
Dharwad,118.39,34,43.42,35.0,14,Medium
Bagalkot,348.33,73,40.71,34.46,2,Medium
Koppal,244.61,56,14.26,34.36,5,Low
Bengaluru Urban,328.73,57,0.33,23.73,21,Medium
